date,Motel6,Jetblue,Jetblue_pred,Motel6_pred
2020-05-29 00:00:00+00:00,50452.14229,56342.98792,,
2020-05-30 00:00:00+00:00,50491.28038,56453.40631,,
2020-05-31 00:00:00+00:00,50596.13765,56555.85521,,
2020-06-01 00:00:00+00:00,50753.97554,56660.36147,,
2020-06-02 00:00:00+00:00,50871.85568,56791.09288,,
2020-06-03 00:00:00+00:00,50866.63485,56953.43499,,
2020-06-04 00:00:00+00:00,50766.40907,57138.13007,,
2020-06-05 00:00:00+00:00,50585.92478,57334.45719,,
2020-06-06 00:00:00+00:00,50301.00742,57524.1942,,
2020-06-07 00:00:00+00:00,49912.42243,57694.60478,,
2020-06-08 00:00:00+00:00,49518.54858,57856.76538,,
2020-06-09 00:00:00+00:00,49247.49961,58029.3451,,
2020-06-10 00:00:00+00:00,49132.89457,58214.84406,,
2020-06-11 00:00:00+00:00,49127.51265,58405.80586,,
2020-06-12 00:00:00+00:00,49109.48578,58591.73968,,
2020-06-13 00:00:00+00:00,48952.99462,58758.08006,,
2020-06-14 00:00:00+00:00,48697.41432,58897.42126,,
2020-06-15 00:00:00+00:00,48448.45339,59024.84211,,
2020-06-16 00:00:00+00:00,48255.89778,59163.85856,,
2020-06-17 00:00:00+00:00,48172.61558,59318.18372,,
2020-06-18 00:00:00+00:00,48201.71749,59477.93546,,
2020-06-19 00:00:00+00:00,48321.40611,59631.80539,,
2020-06-20 00:00:00+00:00,48553.84248,59763.93085,,
2020-06-21 00:00:00+00:00,48895.96978,59861.28187,,
2020-06-22 00:00:00+00:00,49286.34887,59933.91453,,
2020-06-23 00:00:00+00:00,49686.78151,60008.12671,,
2020-06-24 00:00:00+00:00,50071.01952,60097.24339,,
2020-06-25 00:00:00+00:00,50425.20912,60198.04339,,
2020-06-26 00:00:00+00:00,50795.46957,60298.53511,,
2020-06-27 00:00:00+00:00,51163.11978,60382.45104,,
2020-06-28 00:00:00+00:00,51410.86655,60439.90522,,
2020-06-29 00:00:00+00:00,51510.67985,60485.33975,,
2020-06-30 00:00:00+00:00,51594.61122,60547.76763,,
